,Organisation,Country,ISO Code,Vehicle_Name,Launch_date,Launch_Month,Launch_Year,Rocket_Status,Price,Mission_Status,Decade
0,SpaceX,USA,USA,Falcon 9 Block 5 ,07-08-2020,Aug,2020,StatusActive,50,Success,2020
1,CASC,China,CHN,Long March 2D ,06-08-2020,Aug,2020,StatusActive,29.75,Success,2020
2,SpaceX,USA,USA,Starship Prototype ,04-08-2020,Aug,2020,StatusActive,50,Success,2020
3,Roscosmos,Kazakhstan,KAZ,Proton-M/Briz-M ,30-07-2020,Jul,2020,StatusActive,65,Success,2020
4,ULA,USA,USA,Atlas V 541 ,30-07-2020,Jul,2020,StatusActive,145,Success,2020
5,CASC,China,CHN,Long March 4B ,25-07-2020,Jul,2020,StatusActive,64.68,Success,2020
6,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,23-07-2020,Jul,2020,StatusActive,48.5,Success,2020
7,CASC,China,CHN,Long March 5 ,23-07-2020,Jul,2020,StatusActive,29.75,Success,2020
8,SpaceX,USA,USA,Falcon 9 Block 5 ,20-07-2020,Jul,2020,StatusActive,50,Success,2020
9,JAXA,Japan,JPN,H-IIA 202 ,19-07-2020,Jul,2020,StatusActive,90,Success,2020
10,Northrop,USA,USA,Minotaur IV ,15-07-2020,Jul,2020,StatusActive,46,Success,2020
11,ExPace,China,CHN,Kuaizhou 11 ,10-07-2020,Jul,2020,StatusActive,28.3,Failure,2020
12,CASC,China,CHN,Long March 3B/E ,09-07-2020,Jul,2020,StatusActive,29.15,Success,2020
13,IAI,Israel,ISR,Shavit-2 ,06-07-2020,Jul,2020,StatusActive,62,Success,2020
14,CASC,China,CHN,Long March 2D ,04-07-2020,Jul,2020,StatusActive,29.75,Success,2020
15,Rocket Lab,New Zealand,NZL,Electron/Curie ,04-07-2020,Jul,2020,StatusActive,7.5,Failure,2020
16,CASC,China,CHN,Long March 4B ,03-07-2020,Jul,2020,StatusActive,64.68,Success,2020
17,SpaceX,USA,USA,Falcon 9 Block 5 ,30-06-2020,Jun,2020,StatusActive,50,Success,2020
18,CASC,China,CHN,Long March 3B/E ,23-06-2020,Jun,2020,StatusActive,29.15,Success,2020
19,CASC,China,CHN,Long March 2D ,17-06-2020,Jun,2020,StatusActive,29.75,Success,2020
20,SpaceX,USA,USA,Falcon 9 Block 5 ,13-06-2020,Jun,2020,StatusActive,50,Success,2020
21,Rocket Lab,New Zealand,NZL,Electron/Curie ,13-06-2020,Jun,2020,StatusActive,7.5,Success,2020
22,CASC,China,CHN,Long March 2C ,10-06-2020,Jun,2020,StatusActive,30.8,Success,2020
